[2026-03-22 16:52:16] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_comparison_formal_20260322_165216\fair_init\uav_comparison_results.mat
[2026-03-22 17:51:05] DONE: Scene 2 | PSO | run 21 | best=952.998943 | time=6.808s
[2026-03-22 17:51:11] DONE: Scene 2 | PSO | run 22 | best=343.597291 | time=6.793s
[2026-03-22 17:51:19] DONE: Scene 2 | PSO | run 23 | best=360.458520 | time=6.905s
[2026-03-22 17:51:25] DONE: Scene 2 | PSO | run 24 | best=311.644820 | time=6.792s
[2026-03-22 17:51:32] DONE: Scene 2 | PSO | run 25 | best=312.068147 | time=6.764s
[2026-03-22 17:51:39] DONE: Scene 2 | PSO | run 26 | best=1374.850027 | time=6.892s
[2026-03-22 17:51:46] DONE: Scene 2 | PSO | run 27 | best=337.496614 | time=6.861s
[2026-03-22 17:51:53] DONE: Scene 2 | PSO | run 28 | best=349.188124 | time=6.831s
[2026-03-22 17:52:00] DONE: Scene 2 | PSO | run 29 | best=1750.915323 | time=6.842s
[2026-03-22 17:52:07] DONE: Scene 2 | PSO | run 30 | best=325.548278 | time=6.839s
[2026-03-22 17:52:07] Block finished: Scene 2 | PSO | done=30 | failed=0
[2026-03-22 17:52:07] Entering block: Scene 2 | GWO
[2026-03-22 17:52:15] DONE: Scene 2 | GWO | run 1 | best=323.549223 | time=7.182s
[2026-03-22 17:52:22] DONE: Scene 2 | GWO | run 2 | best=326.520552 | time=7.078s
[2026-03-22 17:52:29] DONE: Scene 2 | GWO | run 3 | best=360.350671 | time=7.041s
[2026-03-22 17:52:36] DONE: Scene 2 | GWO | run 4 | best=321.485362 | time=7.030s
[2026-03-22 17:52:44] DONE: Scene 2 | GWO | run 5 | best=350.883307 | time=7.176s
[2026-03-22 17:52:51] DONE: Scene 2 | GWO | run 6 | best=326.155538 | time=7.579s
[2026-03-22 17:52:59] DONE: Scene 2 | GWO | run 7 | best=315.237920 | time=7.267s
[2026-03-22 17:53:06] DONE: Scene 2 | GWO | run 8 | best=329.487087 | time=7.233s
[2026-03-22 17:53:13] DONE: Scene 2 | GWO | run 9 | best=323.172937 | time=7.145s
[2026-03-22 17:53:21] DONE: Scene 2 | GWO | run 10 | best=329.538250 | time=7.262s
[2026-03-22 17:53:28] DONE: Scene 2 | GWO | run 11 | best=327.297746 | time=7.370s
[2026-03-22 17:53:36] DONE: Scene 2 | GWO | run 12 | best=302.499591 | time=7.837s
[2026-03-22 17:53:44] DONE: Scene 2 | GWO | run 13 | best=351.902853 | time=7.880s
[2026-03-22 17:53:52] DONE: Scene 2 | GWO | run 14 | best=300.830821 | time=7.657s
[2026-03-22 17:54:00] DONE: Scene 2 | GWO | run 15 | best=321.266321 | time=7.584s
[2026-03-22 17:54:08] DONE: Scene 2 | GWO | run 16 | best=371.796349 | time=7.680s
[2026-03-22 17:54:16] DONE: Scene 2 | GWO | run 17 | best=320.605485 | time=7.749s
[2026-03-22 17:54:24] DONE: Scene 2 | GWO | run 18 | best=324.373799 | time=7.980s
[2026-03-22 17:54:32] DONE: Scene 2 | GWO | run 19 | best=296.511208 | time=7.911s
[2026-03-22 17:54:40] DONE: Scene 2 | GWO | run 20 | best=359.419250 | time=7.885s
[2026-03-22 17:54:48] DONE: Scene 2 | GWO | run 21 | best=315.855946 | time=7.853s
[2026-03-22 17:54:56] DONE: Scene 2 | GWO | run 22 | best=335.858131 | time=7.887s
[2026-03-22 17:55:04] DONE: Scene 2 | GWO | run 23 | best=385.608666 | time=7.867s
